,Titr,URL
0,Air Canada Completes,https://www.newswire.ca/news-releases/air-canada-completes-financing-transactions-raising-additional-1-23-billion-856479812.html
1,Air Canada Celebrate,https://www.newswire.ca/news-releases/air-canada-celebrates-summer-by-offering-aeroplan-members-access-to-video-content-from-canadian-partners-884315329.html
2,Air Canada to Host V,https://www.newswire.ca/news-releases/air-canada-to-host-virtual-annual-shareholder-meeting-on-june-25-2020-836810643.html
3,Air Canada Deputy Ch,https://www.newswire.ca/news-releases/air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-national-bank-financial-10th-annual-quebec-conference-virtual--831660608.html
4,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-offering-of-shares-and-convertible-senior-notes-raising-gross-proceeds-of-nearly-c-1-6b-812920478.html
5,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-offering-of-shares-and-convertible-senior-notes-886686701.html
6,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-offering-of-shares-and-convertible-senior-notes-810206492.html
7,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-new-schedule-offering-customers-wide-choice-of-destinations-for-safe-travel-this-summer-and-expands-goodwill-policy-830478544.html
8,Advisory - Air Canad,https://www.newswire.ca/news-releases/advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-wolfe-research-global-transportation-amp-industrials-virtual-conference-857005307.html
9,Air Canada offers Cu,https://www.newswire.ca/news-releases/air-canada-offers-customers-a-sneak-peek-at-improvements-coming-with-the-new-aeroplan-program-848341320.html
10,Advisory - Air Canad,https://www.newswire.ca/news-releases/advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-take-part-in-a-fireside-chat-at-the-virtual-rbc-capital-markets-canadian-automotive-industrials-amp-transportation-conference-849968623.html
11,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-renewal-of-shareholder-rights-plan-803229084.html
12,Air Canada CleanCare,https://www.newswire.ca/news-releases/air-canada-cleancare-program-introduces-new-personal-safety-and-sanitary-measures-to-give-customers-added-assurance-898264391.html
13,Air Canada Reports F,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2020-results-828228130.html
14,Jazz Aviation and Ai,https://www.newswire.ca/news-releases/jazz-aviation-and-air-canada-cargo-to-be-first-to-operate-routes-with-dash-8-400-aircraft-simplified-package-freighter-developed-by-de-havilland-canada-862056400.html
15,Air Canada to Tempor,https://www.newswire.ca/news-releases/air-canada-to-temporarily-suspend-transborder-u-s-flights-874178532.html
16,Media Advisory - Air,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-first-quarter-2020-results-835211778.html
17,Air Canada Proudly B,https://www.newswire.ca/news-releases/air-canada-proudly-brings-thousands-of-canadians-home-807478377.html
18,Air Canada Customers,https://www.newswire.ca/news-releases/air-canada-customers-required-to-have-protective-face-coverings-as-additional-safeguard-851155227.html
19,Air Canada Reconfigu,https://www.newswire.ca/news-releases/air-canada-reconfigures-passenger-cabins-on-three-aircraft-to-transport-more-vital-supplies-and-necessary-cargo-861868258.html
20,Air Canada Announces,https://www.newswire.ca/news-releases/air-canada-announces-intention-to-adopt-the-canada-emergency-wage-subsidy-for-the-benefit-of-its-36-000-canadian-based-employee-workforce-877854888.html
21,Air Canada Provides ,https://www.newswire.ca/news-releases/air-canada-provides-update-in-response-to-covid-19-831116675.html
22,UPDATE - Canadians C,https://www.newswire.ca/news-releases/update-canadians-continue-to-fly-back-home-with-air-canada-878999395.html
23,Canadians Continue t,https://www.newswire.ca/news-releases/canadians-continue-to-fly-back-home-with-air-canada-848894218.html
24,Air Canada and Air C,https://www.newswire.ca/news-releases/air-canada-and-air-canada-foundation-work-with-second-harvest-to-redistribute-onboard-fresh-food-items-to-canadians-in-need-889210132.html
25,Air Canada Begins Op,https://www.newswire.ca/news-releases/air-canada-begins-operating-cargo-only-flights-carrying-vital-supplies-necessary-goods-826789173.html
26,Air Canada to Operat,https://www.newswire.ca/news-releases/air-canada-to-operate-two-more-flights-from-quito-to-bring-more-canadians-home-861084476.html
27,Air Canada Will Oper,https://www.newswire.ca/news-releases/air-canada-will-operate-six-special-flights-as-repatriation-efforts-continue-881856903.html
28,Air Canada Continues,https://www.newswire.ca/news-releases/air-canada-continues-to-bring-canadians-back-home-857462369.html
29,Air Canada to Operat,https://www.newswire.ca/news-releases/air-canada-to-operate-special-flight-from-morocco-to-bring-canadians-home-898208266.html
