,Unnamed: 0,Titr,URL,title,Date,text_file
0,0,Air Canada Reports Second Quar,https://www.newswire.ca/news-releases/air-canada-reports-second-quarter-2020-results-809761194.html,Air Canada Reports Second Quarter 2020 Results,"Jul 31, 2020, 06:00 ET",809761194.txt
1,1,Air Canada Implements New Bios,https://www.newswire.ca/news-releases/air-canada-implements-new-biosafety-protocols-as-it-begins-re-opening-its-award-winning-maple-leaf-lounges-838390282.html,Air Canada Implements New Biosafety Protocols as it Begins Re-opening its Award-Winning Maple Leaf Lounges,"Jul 23, 2020, 10:32 ET",838390282.txt
2,2,Air Canada Partners with Montr,https://www.newswire.ca/news-releases/air-canada-partners-with-montreal-s-famed-chef-jerome-ferrer-as-meals-developed-by-its-celebrated-culinary-panel-return-to-the-skies-851172458.html,Air Canada Partners with Montreal's Famed Chef Jérôme Ferrer as Meals Developed by its Celebrated Culinary Panel Return to the Skies,"Jul 20, 2020, 10:00 ET",851172458.txt
3,3,Air Canada Proposes Science-Ba,https://www.newswire.ca/news-releases/air-canada-proposes-science-based-approach-to-easing-quarantine-act-restrictions-817274720.html,Air Canada Proposes Science-Based Approach to Easing Quarantine Act Restrictions,"Jul 15, 2020, 15:54 ET",817274720.txt
4,4,Air Canada Partners with Cleve,https://www.newswire.ca/news-releases/air-canada-partners-with-cleveland-clinic-canada-821104594.html,Air Canada Partners with Cleveland Clinic Canada,"Jul 09, 2020, 12:00 ET",821104594.txt
5,5,Air Canada to Explore Rapid CO,https://www.newswire.ca/news-releases/air-canada-to-explore-rapid-covid-19-testing-with-spartan-bioscience-885606024.html,Air Canada to Explore Rapid COVID-19 Testing with Spartan Bioscience,"Jul 08, 2020, 12:00 ET",885606024.txt
6,6,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-second-quarter-2020-results-803463426.html,Media Advisory - Air Canada to Present Second Quarter 2020 Results,"Jun 30, 2020, 13:43 ET",803463426.txt
7,7,Air Canada Discontinues Servic,https://www.newswire.ca/news-releases/air-canada-discontinues-service-on-30-domestic-regional-routes-and-closes-eight-stations-in-canada-826282841.html,Air Canada Discontinues Service on 30 Domestic Regional Routes and Closes Eight Stations in Canada,"Jun 30, 2020, 11:00 ET",826282841.txt
8,8,Air Canada Further Refines Ind,https://www.newswire.ca/news-releases/air-canada-further-refines-industry-leading-bio-safety-measures-re-introduces-select-services-onboard-flights-890558399.html,"Air Canada Further Refines Industry-Leading Bio-Safety Measures, Re-Introduces Select Services Onboard Flights","Jun 29, 2020, 08:00 ET",890558399.txt
9,9,Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-815944595.html,Air Canada Announces Election of Directors,"Jun 26, 2020, 15:00 ET",815944595.txt
