Titr,URL,title,Date,text_file
Air Canada Implements New Bios,https://www.newswire.ca/news-releases/air-canada-implements-new-biosafety-protocols-as-it-begins-re-opening-its-award-winning-maple-leaf-lounges-838390282.html,Air Canada Implements New Biosafety Protocols as it Begins Re-opening its Award-Winning Maple Leaf Lounges,"Jul 23, 2020, 10:32 ET",838390282.txt
Air Canada Partners with Montr,https://www.newswire.ca/news-releases/air-canada-partners-with-montreal-s-famed-chef-jerome-ferrer-as-meals-developed-by-its-celebrated-culinary-panel-return-to-the-skies-851172458.html,Air Canada Partners with Montreal's Famed Chef Jérôme Ferrer as Meals Developed by its Celebrated Culinary Panel Return to the Skies,"Jul 20, 2020, 10:00 ET",851172458.txt
Air Canada Proposes Science-Ba,https://www.newswire.ca/news-releases/air-canada-proposes-science-based-approach-to-easing-quarantine-act-restrictions-817274720.html,Air Canada Proposes Science-Based Approach to Easing Quarantine Act Restrictions,"Jul 15, 2020, 15:54 ET",817274720.txt
Air Canada Partners with Cleve,https://www.newswire.ca/news-releases/air-canada-partners-with-cleveland-clinic-canada-821104594.html,Air Canada Partners with Cleveland Clinic Canada,"Jul 09, 2020, 12:00 ET",821104594.txt
Air Canada to Explore Rapid CO,https://www.newswire.ca/news-releases/air-canada-to-explore-rapid-covid-19-testing-with-spartan-bioscience-885606024.html,Air Canada to Explore Rapid COVID-19 Testing with Spartan Bioscience,"Jul 08, 2020, 12:00 ET",885606024.txt
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-second-quarter-2020-results-803463426.html,Media Advisory - Air Canada to Present Second Quarter 2020 Results,"Jun 30, 2020, 13:43 ET",803463426.txt
Air Canada Discontinues Servic,https://www.newswire.ca/news-releases/air-canada-discontinues-service-on-30-domestic-regional-routes-and-closes-eight-stations-in-canada-826282841.html,Air Canada Discontinues Service on 30 Domestic Regional Routes and Closes Eight Stations in Canada,"Jun 30, 2020, 11:00 ET",826282841.txt
Air Canada Further Refines Ind,https://www.newswire.ca/news-releases/air-canada-further-refines-industry-leading-bio-safety-measures-re-introduces-select-services-onboard-flights-890558399.html,"Air Canada Further Refines Industry-Leading Bio-Safety Measures, Re-Introduces Select Services Onboard Flights","Jun 29, 2020, 08:00 ET",890558399.txt
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-815944595.html,Air Canada Announces Election of Directors,"Jun 26, 2020, 15:00 ET",815944595.txt
Air Canada Completes Financing,https://www.newswire.ca/news-releases/air-canada-completes-financing-transactions-raising-additional-1-23-billion-856479812.html,Air Canada Completes Financing Transactions Raising Additional $1.23 Billion,"Jun 22, 2020, 16:18 ET",856479812.txt
Air Canada Celebrates Summer b,https://www.newswire.ca/news-releases/air-canada-celebrates-summer-by-offering-aeroplan-members-access-to-video-content-from-canadian-partners-884315329.html,Air Canada Celebrates Summer by Offering Aeroplan Members Access to Video Content from Canadian Partners,"Jun 22, 2020, 15:38 ET",884315329.txt
Air Canada to Host Virtual Ann,https://www.newswire.ca/news-releases/air-canada-to-host-virtual-annual-shareholder-meeting-on-june-25-2020-836810643.html,"Air Canada to Host Virtual Annual Shareholder Meeting on June 25, 2020","Jun 15, 2020, 10:08 ET",836810643.txt
Air Canada Deputy Chief Execut,https://www.newswire.ca/news-releases/air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-national-bank-financial-10th-annual-quebec-conference-virtual--831660608.html,Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer Michael Rousseau will Participate in a Fireside Chat at the National Bank Financial 10th Annual Quebec Conference (virtual),"Jun 09, 2020, 14:24 ET",831660608.txt
Air Canada Announces Closing o,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-offering-of-shares-and-convertible-senior-notes-raising-gross-proceeds-of-nearly-c-1-6b-812920478.html,"Air Canada Announces Closing of Offering of Shares and Convertible Senior Notes, Raising Gross Proceeds of Nearly C$1.6B","Jun 02, 2020, 09:33 ET",812920478.txt
Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-offering-of-shares-and-convertible-senior-notes-886686701.html,Air Canada Announces Pricing of Offering of Shares and Convertible Senior Notes,"May 28, 2020, 08:01 ET",886686701.txt
Air Canada Announces Offering ,https://www.newswire.ca/news-releases/air-canada-announces-offering-of-shares-and-convertible-senior-notes-810206492.html,Air Canada Announces Offering of Shares and Convertible Senior Notes,"May 26, 2020, 16:17 ET",810206492.txt
Air Canada Announces New Sched,https://www.newswire.ca/news-releases/air-canada-announces-new-schedule-offering-customers-wide-choice-of-destinations-for-safe-travel-this-summer-and-expands-goodwill-policy-830478544.html,Air Canada Announces New Schedule Offering Customers Wide Choice of Destinations for Safe Travel this Summer and Expands Goodwill Policy,"May 22, 2020, 13:30 ET",830478544.txt
Advisory - Air Canada Deputy C,https://www.newswire.ca/news-releases/advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-wolfe-research-global-transportation-amp-industrials-virtual-conference-857005307.html,Advisory - Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer Michael Rousseau will Participate in a Fireside Chat at the Wolfe Research Global Transportation &amp; Industrials Virtual Conference,"May 14, 2020, 14:48 ET",857005307.txt
Air Canada offers Customers a ,https://www.newswire.ca/news-releases/air-canada-offers-customers-a-sneak-peek-at-improvements-coming-with-the-new-aeroplan-program-848341320.html,Air Canada offers Customers a Sneak Peek at Improvements Coming with the New Aeroplan Program,"May 07, 2020, 12:34 ET",848341320.txt
Advisory - Air Canada Senior V,https://www.newswire.ca/news-releases/advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-take-part-in-a-fireside-chat-at-the-virtual-rbc-capital-markets-canadian-automotive-industrials-amp-transportation-conference-849968623.html,"Advisory - Air Canada Senior Vice President, Finance, Amos Kazzaz, will take part in a fireside chat at the Virtual RBC Capital Markets Canadian Automotive, Industrials &amp; Transportation Conference","May 06, 2020, 09:00 ET",849968623.txt
Air Canada Announces Renewal o,https://www.newswire.ca/news-releases/air-canada-announces-renewal-of-shareholder-rights-plan-803229084.html,Air Canada Announces Renewal of Shareholder Rights Plan,"May 04, 2020, 16:00 ET",803229084.txt
