,Unnamed: 0,Titr,URL,title,Date,text_file
0,0,Air Canada Reports Second Quar,https://www.newswire.ca/news-releases/air-canada-reports-second-quarter-2020-results-809761194.html,,,
1,1,Air Canada Implements New Bios,https://www.newswire.ca/news-releases/air-canada-implements-new-biosafety-protocols-as-it-begins-re-opening-its-award-winning-maple-leaf-lounges-838390282.html,,,
2,2,Air Canada Partners with Montr,https://www.newswire.ca/news-releases/air-canada-partners-with-montreal-s-famed-chef-jerome-ferrer-as-meals-developed-by-its-celebrated-culinary-panel-return-to-the-skies-851172458.html,,,
3,3,Air Canada Proposes Science-Ba,https://www.newswire.ca/news-releases/air-canada-proposes-science-based-approach-to-easing-quarantine-act-restrictions-817274720.html,,,
4,4,Air Canada Partners with Cleve,https://www.newswire.ca/news-releases/air-canada-partners-with-cleveland-clinic-canada-821104594.html,,,
5,5,Air Canada to Explore Rapid CO,https://www.newswire.ca/news-releases/air-canada-to-explore-rapid-covid-19-testing-with-spartan-bioscience-885606024.html,,,
6,6,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-second-quarter-2020-results-803463426.html,,,
7,7,Air Canada Discontinues Servic,https://www.newswire.ca/news-releases/air-canada-discontinues-service-on-30-domestic-regional-routes-and-closes-eight-stations-in-canada-826282841.html,,,
8,8,Air Canada Further Refines Ind,https://www.newswire.ca/news-releases/air-canada-further-refines-industry-leading-bio-safety-measures-re-introduces-select-services-onboard-flights-890558399.html,,,
9,9,Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-815944595.html,,,
10,10,Air Canada Completes Financing,https://www.newswire.ca/news-releases/air-canada-completes-financing-transactions-raising-additional-1-23-billion-856479812.html,,,
11,11,Air Canada Celebrates Summer b,https://www.newswire.ca/news-releases/air-canada-celebrates-summer-by-offering-aeroplan-members-access-to-video-content-from-canadian-partners-884315329.html,,,
12,12,Air Canada to Host Virtual Ann,https://www.newswire.ca/news-releases/air-canada-to-host-virtual-annual-shareholder-meeting-on-june-25-2020-836810643.html,,,
13,13,Air Canada Deputy Chief Execut,https://www.newswire.ca/news-releases/air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-national-bank-financial-10th-annual-quebec-conference-virtual--831660608.html,,,
14,14,Air Canada Announces Closing o,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-offering-of-shares-and-convertible-senior-notes-raising-gross-proceeds-of-nearly-c-1-6b-812920478.html,,,
15,15,Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-offering-of-shares-and-convertible-senior-notes-886686701.html,,,
16,16,Air Canada Announces Offering ,https://www.newswire.ca/news-releases/air-canada-announces-offering-of-shares-and-convertible-senior-notes-810206492.html,,,
17,17,Air Canada Announces New Sched,https://www.newswire.ca/news-releases/air-canada-announces-new-schedule-offering-customers-wide-choice-of-destinations-for-safe-travel-this-summer-and-expands-goodwill-policy-830478544.html,,,
18,18,Advisory - Air Canada Deputy C,https://www.newswire.ca/news-releases/advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-wolfe-research-global-transportation-amp-industrials-virtual-conference-857005307.html,,,
19,19,Air Canada offers Customers a ,https://www.newswire.ca/news-releases/air-canada-offers-customers-a-sneak-peek-at-improvements-coming-with-the-new-aeroplan-program-848341320.html,,,
20,20,Advisory - Air Canada Senior V,https://www.newswire.ca/news-releases/advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-take-part-in-a-fireside-chat-at-the-virtual-rbc-capital-markets-canadian-automotive-industrials-amp-transportation-conference-849968623.html,,,
21,21,Air Canada Announces Renewal o,https://www.newswire.ca/news-releases/air-canada-announces-renewal-of-shareholder-rights-plan-803229084.html,,,
22,22,Air Canada CleanCare+ Program ,https://www.newswire.ca/news-releases/air-canada-cleancare-program-introduces-new-personal-safety-and-sanitary-measures-to-give-customers-added-assurance-898264391.html,,,
23,23,Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2020-results-828228130.html,,,
24,24,Jazz Aviation and Air Canada C,https://www.newswire.ca/news-releases/jazz-aviation-and-air-canada-cargo-to-be-first-to-operate-routes-with-dash-8-400-aircraft-simplified-package-freighter-developed-by-de-havilland-canada-862056400.html,,,
25,25,Air Canada to Temporarily Susp,https://www.newswire.ca/news-releases/air-canada-to-temporarily-suspend-transborder-u-s-flights-874178532.html,,,
26,26,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-first-quarter-2020-results-835211778.html,,,
27,27,Air Canada Proudly Brings Thou,https://www.newswire.ca/news-releases/air-canada-proudly-brings-thousands-of-canadians-home-807478377.html,,,
28,28,Air Canada Customers Required ,https://www.newswire.ca/news-releases/air-canada-customers-required-to-have-protective-face-coverings-as-additional-safeguard-851155227.html,,,
29,29,Air Canada Reconfigures Passen,https://www.newswire.ca/news-releases/air-canada-reconfigures-passenger-cabins-on-three-aircraft-to-transport-more-vital-supplies-and-necessary-cargo-861868258.html,,,
30,30,Air Canada Announces Intention,https://www.newswire.ca/news-releases/air-canada-announces-intention-to-adopt-the-canada-emergency-wage-subsidy-for-the-benefit-of-its-36-000-canadian-based-employee-workforce-877854888.html,,,
31,31,Air Canada Provides Update in ,https://www.newswire.ca/news-releases/air-canada-provides-update-in-response-to-covid-19-831116675.html,,,
32,32,UPDATE - Canadians Continue to,https://www.newswire.ca/news-releases/update-canadians-continue-to-fly-back-home-with-air-canada-878999395.html,,,
33,34,Air Canada and Air Canada Foun,https://www.newswire.ca/news-releases/air-canada-and-air-canada-foundation-work-with-second-harvest-to-redistribute-onboard-fresh-food-items-to-canadians-in-need-889210132.html,,,
34,35,Air Canada Begins Operating Ca,https://www.newswire.ca/news-releases/air-canada-begins-operating-cargo-only-flights-carrying-vital-supplies-necessary-goods-826789173.html,,,
35,36,Air Canada to Operate Two More,https://www.newswire.ca/news-releases/air-canada-to-operate-two-more-flights-from-quito-to-bring-more-canadians-home-861084476.html,,,
36,37,Air Canada Will Operate Six Sp,https://www.newswire.ca/news-releases/air-canada-will-operate-six-special-flights-as-repatriation-efforts-continue-881856903.html,,,
37,38,Air Canada Continues to Bring ,https://www.newswire.ca/news-releases/air-canada-continues-to-bring-canadians-back-home-857462369.html,,,
38,39,Air Canada to Operate Special ,https://www.newswire.ca/news-releases/air-canada-to-operate-special-flight-from-morocco-to-bring-canadians-home-898208266.html,,,
39,40,Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-ongoing-covid-19-response-813500065.html,,,
40,41,Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-response-to-covid-19-880139839.html,,,
41,42,Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-best-diversity-employers-for-the-fifth-consecutive-year-845824523.html,,,
42,43,Air Canada Salutes Achievement,https://www.newswire.ca/news-releases/air-canada-salutes-achievements-of-present-and-next-generation-of-women-in-aviation-804223431.html,,,
43,44,"Air Canada to Launch Daily, Ye",https://www.newswire.ca/news-releases/air-canada-to-launch-daily-year-round-flights-from-vancouver-to-orange-county-santa-ana-california-860564475.html,,,
44,45,Air Canada announces establish,https://www.newswire.ca/news-releases/air-canada-announces-establishment-of-airframe-maintenance-centres-of-excellence-with-aar-in-trois-rivieres-and-avianor-in-mirabel-819232970.html,,,
45,46,Air Canada Reports 2019 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2019-annual-results-856173233.html,,,
46,47,Air Canada to offer Customers ,https://www.newswire.ca/news-releases/air-canada-to-offer-customers-the-convenience-of-paypal-for-purchasing-tickets-in-canada-819306208.html,,,
47,48,Air Canada Is Named a Top Empl,https://www.newswire.ca/news-releases/air-canada-is-named-a-top-employer-in-montreal-for-the-seventh-consecutive-year-848401800.html,,,
48,49,Air Canada Suspends Flights to,https://www.newswire.ca/news-releases/air-canada-suspends-flights-to-beijing-shanghai-813827197.html,,,
49,50,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-fourth-quarter-and-full-year-2019-results-894319054.html,,,
